pryidind,conteo2ind
10003,189
10019,189
10104,189
10267,189
10388,9
10496,57
10566,9
10621,19
10632,189
10649,189
10667,189
10750,57
10896,53
10929,57
10960,189
10997,19
11044,19
11055,9
11083,27
11101,189
11113,189
11132,189
11251,27
11339,189
11389,189
11436,19
11493,57
11527,189
11569,189
11714,19
11755,4
11763,189
11785,189
11993,189
12019,57
12038,189
12060,5
12082,12
12097,189
12146,9
12152,57
12153,4
12174,189
12175,189
12181,57
12202,12
12204,1
12305,189
12344,189
12365,189
12377,18
12410,189
12529,18
12573,12
12667,19
12684,189
12712,57
12728,189
12888,189
13137,189
13169,189
13217,189
13246,53
13273,57
13303,53
13367,189
13403,189
13597,9
13652,189
13680,18
13712,189
13795,189
13884,189
13896,9
13915,189
13981,53
14078,189
14091,189
14157,53
14228,189
14257,3
14289,27
14374,19
14410,27
14422,189
14439,27
14466,53
14483,189
14494,57
14544,57
14712,53
14715,189
14758,53
14764,19
14780,189
14879,189
14892,189
14959,189
14968,57
14972,53
15008,189
15009,189
15047,18
15123,53
15149,189
15197,27
15211,53
15240,19
15351,189
15371,189
15402,189
15409,53
15436,189
15489,189
15561,18
15593,189
15622,57
15670,53
15689,189
15724,189
15732,189
15733,57
15745,189
15823,27
15850,57
15947,57
16165,27
16185,18
16190,27
16191,189
16196,27
16232,189
16330,53
16431,57
16439,57
16466,9
16467,189
16525,189
16534,189
16645,189
16682,18
16685,18
16701,19
16766,189
16771,5
16819,53
16843,189
16875,27
16886,189
16889,12
16932,189
16963,189
16997,53
17078,189
17117,53
17172,53
17184,27
17222,53
17246,189
17279,189
17287,189
17308,57
17429,57
17455,189
17498,189
17584,57
17594,9
17603,57
17639,189
17663,189
17743,19
17758,189
17872,2
17903,12
17990,57
17995,189
18012,53
18015,189
18044,189
18088,53
18119,27
18310,53
18346,57
18361,27
18387,18
18410,189
18417,189
18427,18
18428,189
18438,19
18442,18
18459,18
18498,189
18638,189
18663,189
18697,189
18735,189
18746,27
18808,189
18890,53
18917,53
18945,18
18961,189
19040,57
19079,57
19114,27
19122,189
19136,57
19148,189
19154,53
19189,189
19297,53
19303,5
19403,57
19410,19
19456,53
19461,57
19490,189
19491,189
19594,53
19659,189
19660,18
19671,189
19680,189
19730,27
19757,27
19799,189
19815,3
19881,5
19885,57
19905,19
20082,189
20093,12
20106,27
20115,189
20123,53
20177,189
20236,53
20352,57
20398,189
20419,189
20477,12
20538,57
20614,189
20758,189
20776,189
20837,189
20887,57
20892,27
21078,189
21107,27
21114,189
21151,189
21180,4
21195,189
21198,189
21261,53
21317,57
21370,53
21394,189
21399,189
21420,189
21429,189
21433,189
21467,189
21496,19
21522,53
21552,12
21609,189
21623,189
21668,18
21775,189
21824,53
21859,53
21915,4
22063,53
22274,27
22342,189
22361,189
22425,57
22465,189
22471,53
22495,189
22507,19
22638,189
22727,27
22776,189
22886,189
22893,189
22922,57
22951,189
22957,189
23066,19
23110,189
23122,57
23182,189
23317,189
23467,57
23518,189
23538,57
23559,1
23565,18
23573,189
23656,189
23687,12
23698,189
23708,189
23712,189
23741,57
23766,53
23777,189
23784,57
23972,57
24009,53
24042,19
24043,189
24125,2
24135,189
24141,189
24151,189
24210,53
24366,189
24407,12
24457,189
24505,189
24543,57
24573,189
24615,57
24629,189
24633,189
24661,53
24851,189
24866,53
24889,57
24937,53
25053,57
25120,9
25126,189
25151,189
25158,189
25213,53
25268,189
25270,189
25310,189
25336,18
25343,189
25346,57
25438,189
25461,57
25509,189
25516,189
25543,189
25618,27
25641,12
25786,189
25885,19
25916,189
25926,27
25931,53
25975,3
25979,53
26007,189
26047,189
26096,189
26105,57
26137,57
26156,27
26187,189
26199,189
26274,189
26284,189
26290,57
26315,53
26339,5
26391,189
26457,53
26470,12
26513,189
26537,53
26575,53
26604,57
26738,57
26765,189
26888,53
26895,189
26925,57
26994,27
26997,53
27060,18
27151,189
27171,189
27245,57
27357,189
27361,189
27423,53
27574,189
27727,189
27743,57
27745,57
27858,189
