pryiddvlplt,dvlplt
10003,Multi
10019,Multi
10104,Multi
10267,Multi
10388,Multi
10496,Multi
10566,MR
10621,MF
10632,Multi
10649,Multi
10667,Multi
10750,Multi
10896,Multi
10929,Multi
10960,Multi
10997,MF
11044,MF
11055,MR
11083,Multi
11101,Multi
11113,MR
11132,Multi
11251,Multi
11339,Multi
11389,Multi
11436,MR
11493,Multi
11527,Multi
11569,Multi
11714,MF
11755,PC
11763,Multi
11785,Multi
11993,Multi
12019,Multi
12038,MF
12060,PC
12082,MF
12097,Multi
12146,Multi
12152,Multi
12153,PC
12174,PC
12175,Multi
12181,Multi
12202,Multi
12204,Multi
12305,Multi
12344,Multi
12365,MR
12377,MF
12410,MR
12529,MF
12573,PC
12667,MR
12684,Multi
12712,Multi
12728,Multi
12888,Multi
13137,Multi
13169,Multi
13217,Multi
13246,MF
13273,Multi
13303,Multi
13367,Multi
13403,MF
13597,MR
13652,Multi
13680,MF
13712,Multi
13795,Multi
13884,Multi
13896,PC
13915,Multi
13981,PC
14078,Multi
14091,Multi
14157,PC
14228,Multi
14257,MF
14289,Multi
14374,MF
14410,MF
14422,Multi
14439,MF
14466,Multi
14483,Multi
14494,Multi
14544,Multi
14712,Multi
14715,Multi
14758,Multi
14764,MF
14780,Multi
14879,MF
14892,Multi
14959,Multi
14968,Multi
14972,MF
15008,Multi
15009,Multi
15047,MF
15123,MR
15149,Multi
15197,PC
15211,Multi
15240,MF
15351,Multi
15371,Multi
15402,Multi
15409,Multi
15436,Multi
15489,Multi
15561,MF
15593,Multi
15622,Multi
15670,Multi
15689,Multi
15724,Multi
15732,Multi
15733,Multi
15745,Multi
15823,MF
15850,Multi
15947,Multi
16165,MF
16185,MF
16190,MF
16191,Multi
16196,MF
16232,Multi
16330,Multi
16431,Multi
16439,Multi
16466,PC
16467,Multi
16525,MF
16534,Multi
16645,MR
16682,Multi
16685,PC
16701,MF
16766,Multi
16771,Multi
16819,Multi
16843,Multi
16875,MF
16886,Multi
16889,PC
16932,Multi
16963,Multi
16997,MF
17078,Multi
17117,Multi
17172,Multi
17184,Multi
17222,Multi
17246,MF
17279,Multi
17287,Multi
17308,Multi
17429,Multi
17455,Multi
17498,Multi
17584,Multi
17594,Multi
17603,Multi
17639,MR
17663,Multi
17743,MF
17758,Multi
17872,MF
17903,MF
17990,Multi
17995,Multi
18012,Multi
18015,Multi
18044,Multi
18088,Multi
18119,Multi
18310,Multi
18346,Multi
18361,Multi
18387,PC
18410,Multi
18417,Multi
18427,MF
18428,Multi
18438,MF
18442,MF
18459,MF
18498,Multi
18638,Multi
18663,Multi
18697,Multi
18735,Multi
18746,Multi
18808,Multi
18890,Multi
18917,Multi
18945,MF
18961,Multi
19040,Multi
19079,Multi
19114,Multi
19122,Multi
19136,Multi
19148,Multi
19154,MF
19189,Multi
19297,Multi
19303,MF
19403,Multi
19410,MF
19456,Multi
19461,Multi
19490,Multi
19491,Multi
19594,Multi
19659,Multi
19660,MF
19671,MF
19680,MF
19730,PC
19757,Multi
19799,Multi
19815,MF
19881,Multi
19885,Multi
19905,PC
20082,Multi
20093,MF
20106,MF
20115,Multi
20123,Multi
20177,MR
20236,Multi
20352,Multi
20398,Multi
20419,Multi
20477,Multi
20538,Multi
20614,Multi
20758,Multi
20776,Multi
20837,Multi
20887,Multi
20892,MF
21078,Multi
21107,Multi
21114,Multi
21151,Multi
21180,PC
21195,Multi
21198,Multi
21261,MF
21317,Multi
21370,Multi
21394,Multi
21399,Multi
21420,Multi
21429,Multi
21433,Multi
21467,Multi
21496,MF
21522,Multi
21552,Multi
21609,Multi
21623,Multi
21668,Multi
21775,MF
21824,Multi
21859,Multi
21915,MF
22063,MF
22274,Multi
22342,Multi
22361,Multi
22425,Multi
22465,Multi
22471,MF
22495,Multi
22507,MF
22638,Multi
22727,MF
22776,Multi
22886,Multi
22893,Multi
22922,Multi
22951,Multi
22957,Multi
23066,MF
23110,Multi
23122,Multi
23182,Multi
23317,PC
23467,Multi
23518,Multi
23538,Multi
23559,MF
23565,Multi
23573,Multi
23656,Multi
23687,MR
23698,MF
23708,PC
23712,MR
23741,Multi
23766,Multi
23777,MF
23784,Multi
23972,Multi
24009,MF
24042,MF
24043,Multi
24125,MF
24135,Multi
24141,Multi
24151,MF
24210,Multi
24366,Multi
24407,Multi
24457,Multi
24505,Multi
24543,Multi
24573,Multi
24615,Multi
24629,Multi
24633,MF
24661,Multi
24851,Multi
24866,Multi
24889,Multi
24937,PC
25053,Multi
25120,Multi
25126,Multi
25151,Multi
25158,Multi
25213,Multi
25268,Multi
25270,Multi
25310,Multi
25336,MF
25343,Multi
25346,Multi
25438,Multi
25461,Multi
25509,Multi
25516,Multi
25543,PC
25618,Multi
25641,PC
25786,Multi
25885,MF
25916,PC
25926,MF
25931,PC
25975,MF
25979,MF
26007,Multi
26047,Multi
26096,MF
26105,Multi
26137,Multi
26156,Multi
26187,Multi
26199,MF
26274,Multi
26284,MF
26290,Multi
26315,Multi
26339,MF
26391,Multi
26457,Multi
26470,Multi
26513,Multi
26537,MF
26575,Multi
26604,Multi
26738,Multi
26765,MR
26888,Multi
26895,MR
26925,Multi
26994,MF
26997,MR
27060,MF
27151,Multi
27171,Multi
27245,Multi
27357,MR
27361,Multi
27423,Multi
27574,Multi
27727,Multi
27743,Multi
27745,Multi
27858,Multi
