pryiddbms1,conteo2dbms1
10003,287
10019,287
10104,287
10267,287
10388,287
10496,287
10566,21
10621,1
10632,287
10649,287
10667,287
10750,287
10896,287
10929,287
10960,287
10997,13
11044,13
11055,287
11083,287
11101,287
11113,4
11132,30
11251,287
11339,287
11389,287
11436,21
11493,287
11527,287
11569,287
11714,13
11755,21
11763,287
11785,287
11993,287
12019,287
12038,6
12060,287
12082,1
12097,287
12146,21
12152,287
12153,287
12174,21
12175,30
12181,287
12202,21
12204,1
12305,287
12344,287
12365,21
12377,287
12410,21
12529,30
12573,21
12667,1
12684,287
12712,287
12728,287
12888,287
13137,287
13169,287
13217,30
13246,13
13273,287
13303,5
13367,287
13403,21
13597,1
13652,287
13680,30
13712,287
13795,287
13884,287
13896,3
13915,287
13981,4
14078,287
14091,287
14157,5
14228,287
14257,13
14289,5
14374,287
14410,287
14422,287
14439,287
14466,287
14483,287
14494,287
14544,287
14712,1
14715,287
14758,4
14764,13
14780,287
14879,30
14892,287
14959,287
14968,287
14972,13
15008,30
15009,30
15047,30
15123,287
15149,287
15197,287
15211,287
15240,287
15351,287
15371,30
15402,287
15409,287
15436,287
15489,287
15561,30
15593,287
15622,287
15670,287
15689,287
15724,287
15732,287
15733,287
15745,287
15823,287
15850,287
15947,287
16165,287
16185,30
16190,287
16191,287
16196,287
16232,287
16330,287
16431,287
16439,287
16466,1
16467,287
16525,287
16534,287
16645,21
16682,1
16685,21
16701,13
16766,30
16771,21
16819,287
16843,287
16875,287
16886,30
16889,21
16932,287
16963,287
16997,13
17078,287
17117,287
17172,287
17184,287
17222,287
17246,287
17279,287
17287,21
17308,287
17429,287
17455,287
17498,287
17584,287
17594,21
17603,287
17639,21
17663,287
17743,13
17758,287
17872,287
17903,3
17990,287
17995,287
18012,287
18015,287
18044,287
18088,287
18119,287
18310,287
18346,287
18361,287
18387,287
18410,287
18417,287
18427,287
18428,287
18438,287
18442,30
18459,287
18498,287
18638,287
18663,287
18697,287
18735,287
18746,287
18808,287
18890,287
18917,287
18945,30
18961,287
19040,287
19079,287
19114,287
19122,287
19136,287
19148,287
19154,4
19189,287
19297,287
19303,287
19403,287
19410,287
19456,5
19461,287
19490,287
19491,287
19594,287
19659,30
19660,30
19671,1
19680,21
19730,4
19757,21
19799,287
19815,287
19881,287
19885,287
19905,2
20082,287
20093,1
20106,287
20115,287
20123,287
20177,1
20236,287
20352,287
20398,287
20419,287
20477,3
20538,287
20614,287
20758,287
20776,287
20837,287
20887,287
20892,287
21078,287
21107,287
21114,30
21151,30
21180,1
21195,287
21198,287
21261,13
21317,287
21370,287
21394,287
21399,287
21420,287
21429,287
21433,287
21467,287
21496,2
21522,287
21552,287
21609,30
21623,287
21668,1
21775,6
21824,287
21859,287
21915,287
22063,1
22274,287
22342,287
22361,287
22425,287
22465,287
22471,4
22495,287
22507,1
22638,287
22727,287
22776,287
22886,30
22893,30
22922,287
22951,287
22957,287
23066,1
23110,287
23122,287
23182,287
23317,287
23467,287
23518,30
23538,287
23559,287
23565,30
23573,287
23656,287
23687,1
23698,287
23708,287
23712,2
23741,287
23766,287
23777,6
23784,287
23972,287
24009,13
24042,13
24043,30
24125,287
24135,287
24141,287
24151,6
24210,287
24366,287
24407,1
24457,287
24505,287
24543,287
24573,287
24615,287
24629,287
24633,6
24661,287
24851,287
24866,287
24889,287
24937,5
25053,287
25120,287
25126,287
25151,287
25158,287
25213,287
25268,287
25270,287
25310,30
25336,30
25343,287
25346,287
25438,287
25461,287
25509,30
25516,287
25543,4
25618,287
25641,1
25786,287
25885,2
25916,1
25926,287
25931,287
25975,287
25979,1
26007,287
26047,287
26096,287
26105,287
26137,287
26156,287
26187,287
26199,6
26274,287
26284,287
26290,287
26315,287
26339,1
26391,287
26457,287
26470,1
26513,287
26537,4
26575,287
26604,287
26738,287
26765,21
26888,287
26895,287
26925,287
26994,287
26997,287
27060,287
27151,287
27171,30
27245,287
27357,21
27361,287
27423,287
27574,287
27727,287
27743,287
27745,287
27858,287
