pryiddvlmtd,conteo2dvlmtd
10003,380
10019,380
10104,380
10267,380
10388,380
10496,380
10566,380
10621,380
10632,380
10649,380
10667,380
10750,380
10896,380
10929,380
10960,380
10997,380
11044,3
11055,380
11083,380
11101,380
11113,380
11132,380
11251,380
11339,380
11389,2
11436,380
11493,380
11527,380
11569,380
11714,380
11755,380
11763,380
11785,380
11993,380
12019,380
12038,380
12060,5
12082,380
12097,380
12146,380
12152,380
12153,5
12174,5
12175,380
12181,380
12202,380
12204,380
12305,380
12344,380
12365,380
12377,380
12410,380
12529,380
12573,380
12667,380
12684,380
12712,380
12728,380
12888,380
13137,380
13169,380
13217,380
13246,380
13273,380
13303,380
13367,380
13403,380
13597,380
13652,380
13680,380
13712,380
13795,380
13884,380
13896,380
13915,380
13981,380
14078,380
14091,380
14157,380
14228,380
14257,380
14289,2
14374,380
14410,380
14422,380
14439,380
14466,380
14483,380
14494,380
14544,380
14712,380
14715,380
14758,380
14764,380
14780,380
14879,380
14892,380
14959,380
14968,380
14972,380
15008,380
15009,380
15047,380
15123,380
15149,380
15197,380
15211,380
15240,380
15351,380
15371,380
15402,380
15409,380
15436,380
15489,380
15561,380
15593,380
15622,380
15670,380
15689,380
15724,380
15732,380
15733,380
15745,380
15823,380
15850,380
15947,380
16165,380
16185,380
16190,380
16191,380
16196,380
16232,380
16330,380
16431,380
16439,380
16466,380
16467,380
16525,380
16534,380
16645,380
16682,380
16685,2
16701,380
16766,380
16771,380
16819,380
16843,380
16875,380
16886,380
16889,380
16932,380
16963,380
16997,380
17078,380
17117,380
17172,380
17184,380
17222,380
17246,380
17279,380
17287,380
17308,380
17429,380
17455,380
17498,380
17584,380
17594,380
17603,380
17639,380
17663,380
17743,3
17758,380
17872,380
17903,380
17990,380
17995,380
18012,380
18015,380
18044,380
18088,3
18119,2
18310,380
18346,380
18361,380
18387,2
18410,380
18417,380
18427,5
18428,380
18438,380
18442,380
18459,380
18498,380
18638,380
18663,380
18697,380
18735,380
18746,380
18808,380
18890,380
18917,380
18945,380
18961,380
19040,380
19079,380
19114,380
19122,380
19136,380
19148,380
19154,380
19189,380
19297,380
19303,380
19403,380
19410,380
19456,380
19461,380
19490,380
19491,380
19594,380
19659,380
19660,380
19671,380
19680,380
19730,380
19757,380
19799,380
19815,380
19881,380
19885,380
19905,380
20082,380
20093,380
20106,380
20115,380
20123,380
20177,380
20236,380
20352,380
20398,380
20419,380
20477,380
20538,380
20614,380
20758,380
20776,380
20837,380
20887,380
20892,380
21078,380
21107,380
21114,380
21151,380
21180,380
21195,380
21198,380
21261,380
21317,380
21370,380
21394,380
21399,380
21420,380
21429,380
21433,380
21467,380
21496,380
21522,380
21552,380
21609,380
21623,380
21668,380
21775,380
21824,380
21859,380
21915,380
22063,380
22274,380
22342,380
22361,380
22425,380
22465,380
22471,380
22495,380
22507,380
22638,380
22727,380
22776,380
22886,380
22893,380
22922,380
22951,380
22957,380
23066,380
23110,380
23122,380
23182,380
23317,380
23467,380
23518,380
23538,380
23559,380
23565,380
23573,380
23656,380
23687,380
23698,380
23708,380
23712,380
23741,380
23766,380
23777,380
23784,380
23972,380
24009,380
24042,3
24043,380
24125,380
24135,380
24141,380
24151,380
24210,380
24366,380
24407,380
24457,380
24505,380
24543,380
24573,380
24615,380
24629,380
24633,380
24661,380
24851,380
24866,380
24889,380
24937,380
25053,380
25120,380
25126,380
25151,380
25158,380
25213,380
25268,380
25270,380
25310,380
25336,380
25343,380
25346,380
25438,380
25461,380
25509,380
25516,380
25543,380
25618,380
25641,380
25786,380
25885,380
25916,2
25926,2
25931,3
25975,380
25979,380
26007,380
26047,380
26096,380
26105,380
26137,380
26156,380
26187,380
26199,380
26274,380
26284,380
26290,380
26315,380
26339,380
26391,380
26457,380
26470,380
26513,380
26537,380
26575,380
26604,380
26738,380
26765,1
26888,380
26895,380
26925,380
26994,380
26997,3
27060,5
27151,380
27171,380
27245,380
27357,2
27361,380
27423,380
27574,380
27727,380
27743,380
27745,380
27858,380
