Language,Avg,Median,Low,High
ABAP,28,18,16,60
"ABAP 4",28,18,16,60
"Amdocs framework",21,21,13,37
Apps,53,53,14,134
ASAP,28,18,16,60
ASP,51,54,15,69
ASP.Net,47,53,31,63
"Assembler *",119,98,25,320
"Brio +",14,14,13,16
C,97,99,39,333
C/AL,97,99,39,333
C++,50,53,25,80
C#,54,59,29,70
CICS,61,55,23,297
ClearBasic,42,44,20,60
COBOL,61,55,23,297
ColdFusion,52,60,26,60
COOL,53,53,14,134
"Cognos Impromptu Scripts +",47,42,30,100
"Cross System Products (CSP) +",20,18,10,38
Cool:Gen,32,24,10,82
"Cool:Gen/IEF *",32,24,10,82
Datastage,71,65,31,157
Delphi,53,53,14,134
Doc1,53,53,14,134
EASYTRIEVE,53,53,14,134
Formspath,37,40,17,60
FORTRAN,97,99,39,333
"Excel *",209,191,131,315
"Focus *",43,45,45,45
FoxPro,36,35,34,38
Groovy,53,53,14,134
HTML,34,40,14,48
"HTML / JSP",34,40,14,48
J2EE,46,49,15,67
Jam,97,99,39,333
Java,53,53,14,134
JavaScript,47,53,31,63
JSP,53,53,14,134
"JCL *",62,48,25,221
"LINC II",29,30,22,38
"Lotus Notes *",23,21,19,40
MAPPER,209,191,131,315
MIXED,53,53,14,134
Natural,40,34,34,53
.NET,57,60,53,60
"Object oriented language",53,53,14,134
Oracle,37,40,17,60
OutlookVBA,42,44,20,60
"PACBASE *",35,32,22,60
PASCAL,53,53,14,134
PERIPHONICS,97,99,39,333
"Perl *",24,15,15,60
PHP,34,40,14,48
PL/I,64,80,16,80
PL/SQL,37,35,13,60
Powerbuilder,26,28,7,40
Pro*C,97,99,39,333
"Proprietary Agile Platform",97,99,39,333
"REXX *",77,80,50,80
RPG,53,53,14,134
"Sabretalk *",70,66,45,109
SAP,28,18,16,60
SAS,38,37,22,55
"Script Language",47,53,31,63
Shell,97,99,39,333
Shell/C,97,99,39,333
Siebel,59,60,51,60
"SLOGAN *",75,75,74,75
SQL,21,21,13,37
TIBCO,54,59,29,70
"Unix Shell",97,99,39,333
Unknown,97,99,39,333
"Visual C++",42,44,20,60
"VB.NET *",52,60,26,60
"Visual Basic",42,44,20,60
"Visual Basic 6.0",42,44,20,60
"Visual Fox",21,21,13,37
